"reason","institution","removed_path","kept_path","removed_name","kept_name","bytes","sha256"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 강원지역 기업경기조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 강원지역 기업경기조사 결과.pdf","[보도자료] 2026년 6월 강원지역 기업경기조사 결과.hwp","[보도자료] 2026년 6월 강원지역 기업경기조사 결과.pdf","634880","d1db46622007fa031d9fc65edaa68440ca41ebd932e451e1d5676f666db8e2f9"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 강원지역 소비자동향조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 강원지역 소비자동향조사 결과.pdf","[보도자료] 2026년 6월 강원지역 소비자동향조사 결과.hwp","[보도자료] 2026년 6월 강원지역 소비자동향조사 결과.pdf","538112","81c0f43a9445a0e8ee7e7aec811c2e4b1c61f1eb2aea22e11fd9c7a7c5d561a1"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 광주전남지역 기업경기조사 결과_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 광주전남지역 기업경기조사 결과_F.pdf","[보도자료] 2026년 6월 광주전남지역 기업경기조사 결과_F.hwp","[보도자료] 2026년 6월 광주전남지역 기업경기조사 결과_F.pdf","675328","03d41021357b2cb8a41273353a8ffb54293db2dad471abb70952f55100e25e97"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 광주전남지역 소비자동향조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 광주전남지역 소비자동향조사 결과.pdf","[보도자료] 2026년 6월 광주전남지역 소비자동향조사 결과.hwp","[보도자료] 2026년 6월 광주전남지역 소비자동향조사 결과.pdf","686080","80ce23e2231e430978c0940a81293e22755dd0613f1055e789ca324e0ebef7e8"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 대구경북지역 기업경기조사 결과_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 대구경북지역 기업경기조사 결과_F.pdf","[보도자료] 2026년 6월 대구경북지역 기업경기조사 결과_F.hwp","[보도자료] 2026년 6월 대구경북지역 기업경기조사 결과_F.pdf","692736","11003d256034491e489b64eb0cebdae799c16b27d6c01b34bdf9a49f8d434077"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 대전세종충남지역 기업경기조사 결과_f.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 대전세종충남지역 기업경기조사 결과_f.pdf","[보도자료] 2026년 6월 대전세종충남지역 기업경기조사 결과_f.hwp","[보도자료] 2026년 6월 대전세종충남지역 기업경기조사 결과_f.pdf","869376","2b6944169aa95f00c92fb46cd9669b9dde2944fcef45cb7fc226416f0fe0f2ae"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 부산지역 소비자동향조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 부산지역 소비자동향조사 결과.pdf","[보도자료] 2026년 6월 부산지역 소비자동향조사 결과.hwp","[보도자료] 2026년 6월 부산지역 소비자동향조사 결과.pdf","355328","0e6286a7abb242a6a0df734d4391973b9297068cea0385f87a0daa41233d7245"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 인천지역 기업경기조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 인천지역 기업경기조사 결과.pdf","[보도자료] 2026년 6월 인천지역 기업경기조사 결과.hwp","[보도자료] 2026년 6월 인천지역 기업경기조사 결과.pdf","1164800","88c34b3a3fd5e2001c6bcfac2b5b45aa66e511d8701c2ef26bf21d41a3f304c5"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 전북지역 기업경기조사 결과_F.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 전북지역 기업경기조사 결과_F.pdf","[보도자료] 2026년 6월 전북지역 기업경기조사 결과_F.hwp","[보도자료] 2026년 6월 전북지역 기업경기조사 결과_F.pdf","410624","772b17c4ebe4cd7f0608e7c6de1d8d9665524d7b8d8a93d3f2756f27654b6514"
"same_title_different_format","한국은행","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 전북지역 소비자동향조사 결과.hwp","C:\Users\sosoj\Documents\PNU-ChatBot\src\data\한국은행\[보도자료] 2026년 6월 전북지역 소비자동향조사 결과.pdf","[보도자료] 2026년 6월 전북지역 소비자동향조사 결과.hwp","[보도자료] 2026년 6월 전북지역 소비자동향조사 결과.pdf","366592","7d04c31b369174d68be0910b726c2e7c639a5d13bfa6cd3dd64f509b0353aadf"
